reference_id	reference_length	coverage_fraction	hit_count	selected	prediction_status
k141_611	687	0.00000000	0	false	false_positive_no_match
k141_622	566	0.00000000	0	false	false_positive_no_match
k141_627	519	0.00000000	0	false	false_positive_no_match
k141_632	1992	0.00000000	0	false	false_positive_no_match
k141_642	11660	0.00591767	0	false	false_positive_no_match
k141_643	3625	0.00000000	0	false	false_positive_no_match
k141_648	527	0.00000000	0	false	false_positive_no_match
k141_657	527	0.00000000	0	false	false_positive_no_match
k141_658	446	0.00000000	0	false	false_positive_no_match
k141_661	2154	0.60105734	0	false	false_positive_no_match
k141_668	2004	0.00000000	0	false	false_positive_no_match
k141_670	2848	0.23260188	0	false	false_positive_no_match
k141_673	481	0.00000000	0	false	false_positive_no_match
k141_685	2804	0.00000000	0	false	false_positive_no_match
k141_688	1090	0.00000000	0	false	false_positive_no_match
k141_707	552	0.00000000	0	false	false_positive_no_match
k141_725	357	0.00000000	0	false	false_positive_no_match
k141_727	614	0.00000000	0	false	false_positive_no_match
k141_73	1576	0.56869816	0	false	false_positive_no_match
k141_749	472	0.00000000	0	false	false_positive_no_match
k141_77	1462	0.00000000	0	false	false_positive_no_match
k141_785	482	0.08034217	0	false	false_positive_no_match
k141_807	528	0.00000000	0	false	false_positive_no_match
k141_818	1768	0.08563050	0	false	false_positive_no_match
k141_821	2958	0.00000000	0	false	false_positive_no_match
k141_83	841	0.13586045	0	false	false_positive_no_match
k141_835	1189	0.00000000	0	false	false_positive_no_match
k141_853	8353	0.00000000	0	false	false_positive_no_match
k141_864	396	0.04034291	0	false	false_positive_no_match
k141_873	736	0.00000000	0	false	false_positive_no_match
k141_902	2893	0.99930868	1	true	true_positive
k141_910	801	0.00000000	0	false	false_positive_no_match
k141_912	1497	0.25008386	0	false	false_positive_no_match
k141_927	5370	0.00000000	0	false	false_positive_no_match
k141_928	902	0.00000000	0	false	false_positive_no_match
k141_937	557	0.00000000	0	false	false_positive_no_match
k141_939	367	0.00000000	0	false	false_positive_no_match
k141_956	1444	0.92268371	4	true	true_positive
k141_957	1673	0.03812317	0	false	false_positive_no_match
k141_96	6157	0.58778626	0	false	false_positive_no_match
k141_960	1015	0.00000000	0	false	false_positive_no_match
k141_964	1341	0.00000000	0	false	false_positive_no_match
k141_976	379	0.00000000	0	false	false_positive_no_match
k141_979	641	0.00000000	0	false	false_positive_no_match
k141_984	934	0.03884946	0	false	false_positive_no_match
k141_985	2802	0.12776588	0	false	false_positive_no_match
k141_995	648	0.00000000	0	false	false_positive_no_match
k141_996	455	0.00000000	0	false	false_positive_no_match
