sample_id	contig_id	start	end	strand	gene	product	drug_class	category	tool	evidence	identity	coverage	source_file
SRR11038083	contig_4	1	641	+	contig_4	contig_4		region	bakta				/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_5	1	1805	+	contig_5	contig_5		region	bakta				/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_5	18	737	+	HJHHLH_0008	Replication protein		CDS	bakta	SO:0001217,UniRef:UniRef50_A0A8H9M1M6,UniRef:UniRef90_A0A332KYT6			/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_5	764	1201	+	HJHHLH_0009	hypothetical protein		CDS	bakta	SO:0001217,UniRef:UniRef50_A0A0H5PY58,UniRef:UniRef90_A0A0H5PY58			/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_5	1083	1532		HJHHLH_0010	hypothetical protein		CDS	bakta				/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_6	1	845	+	contig_6	contig_6		region	bakta				/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_6	282	557	+	HJHHLH_0011	RNA polymerase sigma factor%2C sigma-70 family		CDS	bakta	SO:0001217,UniRef:UniRef50_A0A1M4T4K5			/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_7	1	634	+	contig_7	contig_7		region	bakta				/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_7	24	596	+	HJHHLH_0012	MobA/MobL family protein		CDS	bakta	SO:0001217,UniRef:UniRef50_UPI001D02B3A2			/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_8	1	423	+	contig_8	contig_8		region	bakta				/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_8	49	348		mbpA	mobilization protein MbpA		CDS	bakta	RefSeq:WP_258897738.1,SO:0001217,UniParc:UPI00216438F2,UniRef:UniRef100_UPI0034A29CE5,UniRef:UniRef50_A0A2V2GEE6,UniRef:UniRef90_A0A3R6NZN0			/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_9	1	3162	+	contig_9	contig_9		region	bakta				/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_9	157	891	+	HJHHLH_0014	hypothetical protein		CDS	bakta				/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_9	906	1289	+	HJHHLH_0015	hypothetical protein		CDS	bakta				/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_9	1812	2804	+	HJHHLH_0016	hypothetical protein		CDS	bakta				/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_10	1	5099	+	contig_10	contig_10		region	bakta				/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_10	351	641		brnA	BrnA antitoxin of type II toxin-antitoxin system		CDS	bakta	RefSeq:WP_278878253.1,SO:0001217,UniParc:UPI00065CB007,UniRef:UniRef100_A0A2A2GBT0,UniRef:UniRef50_G9AA42,UniRef:UniRef90_A0A2A2G6X6			/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_10	638	886		brnT	BrnT family toxin		CDS	bakta	RefSeq:WP_278878254.1,SO:0001217,UniParc:UPI00065CC74E,UniRef:UniRef100_A0A2W6SQ14,UniRef:UniRef50_A0A068SLX1,UniRef:UniRef90_A0A2A2G6H2			/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_10	968	1483	+	HJHHLH_0019	hypothetical protein		CDS	bakta				/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_10	1606	2628	+	HJHHLH_0020	Initiator Rep protein WH1 domain-containing protein		CDS	bakta	SO:0001217,UniRef:UniRef50_Q8GI69,UniRef:UniRef90_A0A0H5Q300			/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_10	2702	3109	+	HJHHLH_0021	Helix-turn-helix domain-containing protein		CDS	bakta	SO:0001217,UniRef:UniRef50_A0A5C7L8V6,UniRef:UniRef90_A0A0H5Q4P3			/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_10	3251	3943		HJHHLH_0022	hypothetical protein		CDS	bakta	PFAM:PF12840.13,PFAM:PF01022.26,PFAM:PF09339.16			/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_10	4094	4465		HJHHLH_0023	hypothetical protein		CDS	bakta				/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_10	4516	4992	+	lspA	signal peptidase II		CDS	bakta	EC:3.4.23.36,GO:0004190,GO:0005886,GO:0006508,GO:0009306,KEGG:K03101,SO:0001217,UniRef:UniRef50_A0A132BZ68,UniRef:UniRef90_A0A2W6SPE5			/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_11	1	4920	+	contig_11	contig_11		region	bakta				/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_11	149	328	+	HJHHLH_0025	hypothetical protein		CDS	bakta	SO:0001217,UniParc:UPI0008F8D5FA,UniRef:UniRef100_A0A3R6R681,UniRef:UniRef50_C0CLF0,UniRef:UniRef90_C0CLF0			/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_11	332	1861	+	HJHHLH_0026	Replication protein		CDS	bakta	RefSeq:WP_117508232.1,SO:0001217,UniParc:UPI000E42273C,UniRef:UniRef100_A0A926EPV0,UniRef:UniRef50_A0A1Y4L3A8,UniRef:UniRef90_A0A412YRQ1			/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_11	2106	2387	+	HJHHLH_0027	Type II toxin-antitoxin system RelB/DinJ family antitoxin		CDS	bakta	KEGG:K07473,RefSeq:WP_005948237.1,SO:0001217,UniParc:UPI0001967FFD,UniRef:UniRef100_A0A416Z741,UniRef:UniRef50_G5ID77,UniRef:UniRef90_A0A6L5TCC1			/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_11	2380	2652	+	yafQ	mRNA interferase YafQ		CDS	bakta	EC:3.1.-.-,KEGG:K19157,SO:0001217,UniRef:UniRef50_C9RJS0,UniRef:UniRef90_C0CLE7			/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_11	2671	2919	+	HJHHLH_0029	DUF5060 domain-containing protein		CDS	bakta	SO:0001217,UniRef:UniRef50_A0A1Y4HBA1,UniRef:UniRef90_A0A1Y4HBA1			/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_11	2916	3449	+	HJHHLH_0030	hypothetical protein		CDS	bakta				/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_11	3533	3886	+	HJHHLH_0031	XRE family transcriptional regulator		CDS	bakta	SO:0001217,UniRef:UniRef50_A0A373HMY0,UniRef:UniRef90_A0A417BN06			/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_12	1	4042	+	contig_12	contig_12		region	bakta				/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_12	119	1204	+	HJHHLH_0032	hypothetical protein		CDS	bakta				/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_12	1395	2837	+	HJHHLH_0033	hypothetical protein		CDS	bakta	SO:0001217,UniRef:UniRef50_UPI003567A1B3			/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_12	2922	3386	+	HJHHLH_0034	hypothetical protein		CDS	bakta				/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_12	3415	3921	+	HJHHLH_0035	hypothetical protein		CDS	bakta				/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_13	1	566	+	contig_13	contig_13		region	bakta				/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_14	1	820	+	contig_14	contig_14		region	bakta				/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_15	1	1497	+	contig_15	contig_15		region	bakta				/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_15	25	903	+	HJHHLH_0036	Replication protein		CDS	bakta	SO:0001217,UniRef:UniRef50_A0A3E3I1L8			/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_15	1149	1430	+	HJHHLH_0037	Type II toxin-antitoxin system RelB/DinJ family antitoxin		CDS	bakta	KEGG:K07473,RefSeq:WP_005948237.1,SO:0001217,UniParc:UPI0001967FFD,UniRef:UniRef100_A0A416Z741,UniRef:UniRef50_G5ID77,UniRef:UniRef90_A0A6L5TCC1			/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_16	1	367	+	contig_16	contig_16		region	bakta				/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_17	1	2017	+	contig_17	contig_17		region	bakta				/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_17	176	712		repA	RepA protein		CDS	bakta	RefSeq:WP_000288520.1,SO:0001217,UniParc:UPI0002A40BB3,UniRef:UniRef100_A0A0J2DR21,UniRef:UniRef50_A0A0J2DR21,UniRef:UniRef90_A0A0J2DR21			/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_17	1626	1904	+	HJHHLH_0039	Rep protein		CDS	bakta	SO:0001217,UniRef:UniRef50_A0A2S8DBD5			/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_18	1	853	+	contig_18	contig_18		region	bakta				/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_18	352	849		HJHHLH_0040	Replication protein		CDS	bakta	SO:0001217,UniRef:UniRef50_A0A547TD57,UniRef:UniRef90_A0AAP8LAR7			/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_19	1	6695	+	contig_19	contig_19		region	bakta				/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_19	296	781		HJHHLH_0041	hypothetical protein		CDS	bakta				/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_19	724	807	?	HJHHLHJKEC_428	origin of transfer		oriT	bakta	similar to DNA sequence			/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_19	810	1799		HJHHLH_0042	Replication protein		CDS	bakta	RefSeq:WP_350423459.1,SO:0001217,UniParc:UPI0012C67E3B,UniRef:UniRef100_UPI0012C67E3B,UniRef:UniRef50_A0A0H5Q2L6,UniRef:UniRef90_A0A793Y133			/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_19	1800	2792	?	HJHHLHJKEC_424	origin of replication		oriC	bakta	similar to DNA sequence			/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_19	2209	2757		HJHHLH_0043	Prophage protein		CDS	bakta	SO:0001217,UniRef:UniRef50_A0A376VTK5,UniRef:UniRef90_A0A376VTK5			/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_19	2388	2461	?	HJHHLHJKEC_429	origin of transfer		oriT	bakta	similar to DNA sequence			/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_19	2713	2792	?	HJHHLHJKEC_430	origin of transfer		oriT	bakta	similar to DNA sequence			/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_19	2793	3782		HJHHLH_0044	Replication protein		CDS	bakta	RefSeq:WP_021579786.1,SO:0001217,UniParc:UPI00038FA113,UniRef:UniRef100_A0A2L1F4P0,UniRef:UniRef50_A0A0H5Q2L6,UniRef:UniRef90_A0A793Y133			/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_19	4084	4179		HJHHLH_0045	hypothetical protein		CDS	bakta				/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_19	4488	4554	?	HJHHLHJKEC_431	origin of transfer		oriT	bakta	similar to DNA sequence			/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_19	4556	5050	+	HJHHLH_0046	hypothetical protein		CDS	bakta				/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_19	5194	6183		HJHHLH_0047	Protein rep		CDS	bakta	RefSeq:WP_087526068.1,SO:0001217,UniParc:UPI000B3CD1D3,UniRef:UniRef100_A0A749Y4N6,UniRef:UniRef50_A0A511FSL3,UniRef:UniRef90_A0A758WV92			/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_20	1	3212	+	contig_20	contig_20		region	bakta				/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_20	118	399		HJHHLH_0048	Type II toxin-antitoxin system RelB/DinJ family antitoxin		CDS	bakta	KEGG:K07473,RefSeq:WP_087295645.1,SO:0001217,UniParc:UPI000823306D,UniRef:UniRef100_A0A926EUP6,UniRef:UniRef50_G5ID77,UniRef:UniRef90_A0A6L5TCC1			/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_20	644	2173		HJHHLH_0049	Replication protein		CDS	bakta	SO:0001217,UniRef:UniRef50_A0A1Y4L3A8,UniRef:UniRef90_A0A412YRQ1			/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_20	2177	2356		HJHHLH_0050	hypothetical protein		CDS	bakta	SO:0001217,UniRef:UniRef50_C0CLF0,UniRef:UniRef90_C0CLF0			/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_20	2600	3211		HJHHLH_0051	Putative recombinase		CDS	bakta	SO:0001217,UniRef:UniRef50_C7U170,UniRef:UniRef90_C7U170			/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_21	1	606	+	contig_21	contig_21		region	bakta				/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_22	1	3202	+	contig_22	contig_22		region	bakta				/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_22	112	666	+	HJHHLH_0052	hypothetical protein		CDS	bakta	SO:0001217,UniRef:UniRef50_UPI00248A9A30			/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_22	1251	2246	+	repM	replication initiation protein RepM		CDS	bakta	GO:0003887,GO:0006270,RefSeq:WP_149961185.1,SO:0001217,UniParc:UPI0003E36A04,UniRef:UniRef100_A0A6I0K4L9,UniRef:UniRef50_A0A6I0K4L9,UniRef:UniRef90_A0A6I0K4L9			/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_23	1	1173	+	contig_23	contig_23		region	bakta				/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_24	1	1673	+	contig_24	contig_24		region	bakta				/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_24	5	478		HJHHLH_0054	HTH crp-type domain-containing protein		CDS	bakta	SO:0001217,UniRef:UniRef50_F7JS68,UniRef:UniRef90_F7JS68			/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_24	810	1040	+	HJHHLH_0055	hypothetical protein		CDS	bakta				/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_24	1070	1282		HJHHLH_0056	hypothetical protein		CDS	bakta				/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_25	1	1709	+	contig_25	contig_25		region	bakta				/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_25	5	478		HJHHLH_0057	HTH crp-type domain-containing protein		CDS	bakta	SO:0001217,UniRef:UniRef50_F7JS68,UniRef:UniRef90_F7JS68			/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_26	1	447	+	contig_26	contig_26		region	bakta				/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
SRR11038083	contig_27	1	4304	+	contig_27	contig_27		region	bakta				/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_codex_20260810_12vcpu_62gb/08_annotation/SRR11038083/final.contigs_plasmid.gff3
