contig_id,fasta_order,length_bp,length_kb,plasmid_score,topology,coverage,tpm,log10_tpm,replicon_type,typed,finding_group
k141_1500,92,3044,3.044,0.9894,DTR,10.471,20.8992,1.3404,未分型,未分型,其他候选
k141_1505,100,5242,5.242,0.9926,DTR,35.1051,71.8099,1.8622,未分型,未分型,其他候选
k141_1562,9,3162,3.162,0.9794,DTR,5.8127,11.8753,1.1098,未分型,未分型,其他候选
k141_157,54,973,0.973,0.9591,No terminal repeats,11.9915,22.6447,1.3737,未分型,未分型,其他候选
k141_1596,22,3202,3.202,0.979,DTR,81.5816,163.5958,2.2164,未分型,未分型,其他候选
k141_1598,27,4304,4.304,0.9764,DTR,567.7881,1150.6796,3.0613,未分型,未分型,其他候选
k141_163,59,1992,1.992,0.9785,No terminal repeats,6.6097,13.5535,1.163,未分型,未分型,其他候选
k141_164,61,1459,1.459,0.9874,No terminal repeats,3.2872,6.5937,0.8805,未分型,未分型,其他候选
k141_172,62,481,0.481,0.9178,No terminal repeats,1.9577,3.2259,0.6259,未分型,未分型,其他候选
k141_176,66,379,0.379,0.9176,No terminal repeats,1.9389,3.2752,0.631,未分型,未分型,其他候选
k141_182,68,1341,1.341,0.9848,No terminal repeats,3.4509,6.9425,0.9,未分型,未分型,其他候选
k141_1842,2,1316,1.316,0.9863,DTR,6.3876,12.2622,1.1226,未分型,未分型,其他候选
k141_186,71,527,0.527,0.8395,No terminal repeats,1024.9523,1731.2418,3.2386,未分型,未分型,其他候选
k141_1863,6,845,0.845,0.9931,DTR,8.1209,15.0573,1.2057,未分型,未分型,其他候选
k141_207,76,2154,2.154,0.9963,No terminal repeats,32.0259,63.6792,1.8108,未分型,未分型,其他候选
k141_208,80,4382,4.382,0.9909,No terminal repeats,555.1881,1126.3729,3.0521,未分型,未分型,其他候选
k141_21,5,1805,1.805,0.9825,DTR,716.6362,1394.6704,3.1448,未分型,未分型,其他候选
k141_213,83,3625,3.625,0.993,No terminal repeats,52.5341,233.1953,2.3696,未分型,未分型,其他候选
k141_214,85,1787,1.787,0.9842,No terminal repeats,5.0354,9.8985,1.0374,未分型,未分型,其他候选
k141_224,91,2802,2.802,0.9909,No terminal repeats,190.1968,388.6298,2.5907,未分型,未分型,其他候选
k141_231,93,446,0.446,0.9554,No terminal repeats,1.8345,3.479,0.6512,未分型,未分型,其他候选
k141_237,95,465,0.465,0.9362,No terminal repeats,16.9556,46.716,1.6787,未分型,未分型,其他候选
k141_239,97,440,0.44,0.9195,No terminal repeats,2.4414,4.2317,0.7186,未分型,未分型,其他候选
k141_241,99,1680,1.68,0.9816,DTR,146.8961,286.4991,2.4586,Col(MG828),已分型,其他候选
k141_247,102,1436,1.436,0.9944,No terminal repeats,2085.2744,3961.6526,3.598,未分型,未分型,其他候选
k141_253,105,2004,2.004,0.9916,No terminal repeats,8.0453,16.2597,1.237,未分型,未分型,其他候选
k141_256,106,2171,2.171,0.9904,No terminal repeats,14.5289,28.7314,1.4732,未分型,未分型,其他候选
k141_275,114,455,0.455,0.9876,No terminal repeats,4.0525,6.8204,0.8932,未分型,未分型,其他候选
k141_279,116,557,0.557,0.9718,No terminal repeats,4.6585,7.8,0.9445,未分型,未分型,其他候选
k141_280,118,773,0.773,0.9686,No terminal repeats,34.1718,63.0291,1.8064,未分型,未分型,其他候选
k141_287,120,498,0.498,0.9251,No terminal repeats,3.8966,6.8546,0.8951,未分型,未分型,其他候选
k141_290,123,482,0.482,0.9355,No terminal repeats,36.2169,66.3149,1.8281,未分型,未分型,其他候选
k141_291,125,1090,1.09,0.962,No terminal repeats,3.9787,8.2564,0.9664,未分型,未分型,其他候选
k141_297,128,552,0.552,0.9517,No terminal repeats,2.2587,3.9353,0.6933,未分型,未分型,其他候选
k141_323,4,641,0.641,0.9787,No terminal repeats,2.4053,4.8413,0.7665,未分型,未分型,其他候选
k141_34,8,423,0.423,0.966,No terminal repeats,2.4469,3.6682,0.6691,未分型,未分型,其他候选
k141_367,14,820,0.82,0.9708,No terminal repeats,13.8,25.7345,1.4271,未分型,未分型,其他候选
k141_368,19,6695,6.695,0.9912,No terminal repeats,913.7061,1855.8031,3.2688,ColpVC,已分型,其他候选
k141_373,21,606,0.606,0.9231,No terminal repeats,2.2522,4.0967,0.7073,未分型,未分型,其他候选
k141_374,23,1173,1.173,0.982,No terminal repeats,45.5806,85.9817,1.9394,未分型,未分型,其他候选
k141_385,28,1112,1.112,0.9812,No terminal repeats,141.7152,272.3741,2.4368,未分型,未分型,其他候选
k141_386,29,472,0.472,0.9784,No terminal repeats,3.5435,5.9173,0.8399,未分型,未分型,其他候选
k141_391,32,792,0.792,0.9838,No terminal repeats,55.5857,102.2672,2.014,未分型,未分型,其他候选
k141_396,36,3086,3.086,0.97,No terminal repeats,6.53,13.3745,1.1576,未分型,未分型,其他候选
k141_431,51,11033,11.033,0.9953,No terminal repeats,522.4219,1075.755,3.0321,未分型,未分型,其他候选
k141_435,53,3454,3.454,0.9847,DTR,47.5702,97.6625,1.9942,未分型,未分型,其他候选
k141_436,56,2848,2.848,0.9927,No terminal repeats,5623.8335,11366.193,4.0557,未分型,未分型,其他候选
k141_442,65,8353,8.353,0.9939,No terminal repeats,11.6086,23.7771,1.3941,未分型,未分型,其他候选
k141_450,69,934,0.934,0.9862,No terminal repeats,5.4592,10.9645,1.0779,未分型,未分型,其他候选
k141_462,81,10720,10.72,0.9926,No terminal repeats,9624.68,21741.773,4.3373,未分型,未分型,其他候选
k141_465,82,396,0.396,0.988,No terminal repeats,2.5081,4.7019,0.756,未分型,未分型,其他候选
k141_483,87,560,0.56,0.8657,No terminal repeats,4.2512,7.7582,0.9424,未分型,未分型,其他候选
k141_511,103,351,0.351,0.8674,No terminal repeats,2.4328,4.4206,0.734,未分型,未分型,其他候选
k141_524,109,2893,2.893,0.984,DTR,197599.8,802878.75,5.9047,repUS2,已分型,其他候选
k141_525,110,672,0.672,0.9832,No terminal repeats,2.5556,4.618,0.7496,未分型,未分型,其他候选
k141_526,111,1768,1.768,0.9813,No terminal repeats,17.3059,35.6315,1.5639,未分型,未分型,其他候选
k141_527,113,1048,1.048,0.9763,No terminal repeats,4.6025,9.1795,1.0077,未分型,未分型,其他候选
k141_533,115,528,0.528,0.914,No terminal repeats,2.2328,4.1142,0.7088,未分型,未分型,其他候选
k141_538,119,1065,1.065,0.9911,No terminal repeats,5.4415,10.1986,1.0492,未分型,未分型,其他候选
k141_542,122,708,0.708,0.9502,No terminal repeats,3.8925,7.0131,0.9038,未分型,未分型,其他候选
k141_543,124,690,0.69,0.937,No terminal repeats,1.9352,3.598,0.6626,未分型,未分型,其他候选
k141_555,129,527,0.527,0.9342,No terminal repeats,2.3157,4.7109,0.7567,未分型,未分型,其他候选
k141_57,13,566,0.566,0.9856,No terminal repeats,3.3245,6.0311,0.847,未分型,未分型,其他候选
k141_587,136,437,0.437,0.914,No terminal repeats,1.8153,3.5507,0.6581,未分型,未分型,其他候选
k141_588,137,708,0.708,0.851,No terminal repeats,1.8584,3.5065,0.6538,未分型,未分型,其他候选
k141_600,141,519,0.519,0.9533,No terminal repeats,4.6992,8.969,0.9987,未分型,未分型,其他候选
k141_610,1,5370,5.37,0.992,No terminal repeats,67.7218,139.8499,2.1488,未分型,未分型,其他候选
k141_62,15,1497,1.497,0.9813,No terminal repeats,68.1299,131.0136,2.1206,未分型,未分型,其他候选
k141_630,11,4920,4.92,0.9945,No terminal repeats,678.1987,1375.7247,3.1388,未分型,未分型,其他候选
k141_655,16,367,0.367,0.9497,No terminal repeats,2.235,4.2279,0.7183,未分型,未分型,其他候选
k141_663,20,3212,3.212,0.9825,No terminal repeats,591.627,1188.5597,3.0754,未分型,未分型,其他候选
k141_669,25,1709,1.709,0.9917,DTR,231.4458,454.6876,2.6587,未分型,未分型,其他候选
k141_684,34,595,0.595,0.9477,No terminal repeats,3.6404,7.3018,0.9192,未分型,未分型,其他候选
k141_686,37,749,0.749,0.9597,No terminal repeats,2.3472,4.9719,0.7761,未分型,未分型,其他候选
k141_69,18,853,0.853,0.9857,No terminal repeats,6.2432,12.0056,1.1141,未分型,未分型,其他候选
k141_693,39,1444,1.444,0.9887,No terminal repeats,78.0139,154.949,2.193,未分型,未分型,其他候选
k141_725,50,607,0.607,0.9812,No terminal repeats,602.1597,1009.7161,3.0046,未分型,未分型,其他候选
k141_738,52,357,0.357,0.9679,No terminal repeats,11.4976,18.2546,1.2845,未分型,未分型,其他候选
k141_747,57,1584,1.584,0.9722,No terminal repeats,4.825,9.5998,1.0253,未分型,未分型,其他候选
k141_754,58,941,0.941,0.9861,No terminal repeats,4.2149,7.9148,0.9501,未分型,未分型,其他候选
k141_757,64,5734,5.734,0.9949,No terminal repeats,231.9026,480.4293,2.6825,未分型,未分型,其他候选
k141_763,70,2804,2.804,0.986,No terminal repeats,10.3323,20.9173,1.3408,未分型,未分型,其他候选
k141_775,74,6157,6.157,0.994,No terminal repeats,154.2998,312.949,2.4969,Col(pHAD28),已分型,blaTEM-116 候选
k141_795,84,464,0.464,0.9617,No terminal repeats,24.3153,38.791,1.5998,未分型,未分型,其他候选
k141_801,88,3502,3.502,0.9897,No terminal repeats,5.855,11.8743,1.1097,未分型,未分型,其他候选
k141_802,89,902,0.902,0.9797,No terminal repeats,2.8457,5.5047,0.8132,未分型,未分型,其他候选
k141_803,90,644,0.644,0.9682,No terminal repeats,3.5789,6.7463,0.8891,未分型,未分型,其他候选
k141_810,94,648,0.648,0.9857,No terminal repeats,3.3655,6.7046,0.8868,未分型,未分型,其他候选
k141_82,26,447,0.447,0.9364,No terminal repeats,1.899,3.4712,0.6504,未分型,未分型,其他候选
k141_822,101,558,0.558,0.9849,No terminal repeats,2.8995,5.5614,0.817,未分型,未分型,其他候选
k141_837,107,1100,1.1,0.9898,No terminal repeats,2.6432,5.0781,0.7838,未分型,未分型,其他候选
k141_855,117,727,0.727,0.7222,No terminal repeats,2.9341,5.9761,0.8436,未分型,未分型,其他候选
k141_866,126,1040,1.04,0.9883,No terminal repeats,2.418,4.7743,0.7615,未分型,未分型,其他候选
k141_880,131,5285,5.285,0.9941,DTR,14.7116,29.9465,1.4906,Col156,已分型,其他候选
k141_882,132,1015,1.015,0.9821,No terminal repeats,2.8301,6.1148,0.8522,未分型,未分型,其他候选
k141_883,133,1576,1.576,0.9368,No terminal repeats,24.5645,48.4395,1.6941,未分型,未分型,其他候选
k141_886,135,609,0.609,0.8762,DTR,7.9085,15.2871,1.2118,未分型,未分型,其他候选
k141_891,140,5314,5.314,0.9844,DTR,234.622,477.7555,2.6801,未分型,未分型,其他候选
k141_908,143,736,0.736,0.9564,No terminal repeats,5.099,9.2761,1.0118,未分型,未分型,其他候选
k141_929,3,614,0.614,0.9607,No terminal repeats,3.8534,7.5813,0.9336,未分型,未分型,其他候选
k141_946,7,634,0.634,0.9714,No terminal repeats,3.4339,6.3632,0.8671,未分型,未分型,其他候选
k141_960,12,4042,4.042,0.7318,No terminal repeats,5.1724,10.5183,1.0614,未分型,未分型,其他候选
k141_967,17,2017,2.017,0.9896,No terminal repeats,565.9641,1100.8411,3.0421,Col(MG828),已分型,其他候选
k141_979,24,1673,1.673,0.9828,No terminal repeats,269.4425,532.1763,2.7269,未分型,未分型,其他候选
k141_98,33,780,0.78,0.9293,No terminal repeats,3.5159,7.1614,0.9118,未分型,未分型,其他候选
k141_992,30,1189,1.189,0.9876,No terminal repeats,5.5621,11.223,1.0872,未分型,未分型,其他候选
k141_994,31,816,0.816,0.9519,No terminal repeats,3.7583,7.2258,0.9152,未分型,未分型,其他候选
